NO,NAMA KELUHAN,GEJALA PENYERTA / PEMBEDA,TINGKAT URGENSI,REKOMENDASI TINDAKAN,REKOMENDASI PRODUK/OBAT,KONDISI BAHAYA / RED FLAG,WAJIB DISCLAIMER,CATATAN KHUSUS
1,Nyeri Dada,"Nyeri terasa tajam atau seperti tertarik; dapat ditunjuk dengan satu jari; bertambah saat bergerak, mengangkat beban, batuk, atau ditekan; biasanya tidak menjalar; sering setelah aktivitas fisik",RINGAN,1. Istirahat 15-20 mnt; 2. Kompres hangat area nyeri; 3. Minum air putih yg cukup,Counterpain Cool (oles 2x/hari); atau Paracetamol 500mg jika nyeri,Sesak; nyeri menjalar; keringat dingin; nyeri tidak membaik ,YA,Kemungkinan diagnosis: nyeri otot dada/costochondritis. Lansia perlu waspada bila nyeri baru muncul mendadak
2,Nyeri Dada,Perih/panas setelah makan; membaik dgn antasida; tidak menjalar; rasa asam di mulut,RINGAN,"1. Duduk tegak, jangan langsung tiduran; 2. Hindari makan pedas/asam; 3. Minum antasida","Antasida cair 10ml setelah makan (max 3x/hari); atau 
Omeprazole 20 mg sebelum makan (2x sehari)",Jika tidak membaik >3 hari → rujuk ke dokter,YA,"Pada ibu hamil lebih sering terjadi akibat peningkatan tekanan perut dan hormon kehamilan. Pada lansia, keluhan maag dapat menyerupai nyeri jantung"
3,Nyeri Dada,"Nyeri terasa ditekan, dihimpit, diremas, atau tertindih beban berat; biasanya di tengah/kiri dada; muncul saat aktivitas, naik tangga, stres emosional; membaik saat istirahat; dapat menjalar ke lengan kiri, bahu, rahang, leher, atau punggung",BAHAYA,1. Hentikan aktivitas; 2. Duduk dan istirahat; 3. Segera evaluasi medis,-,⚠️ SEGERA minta seseorang antarkan ke IGD terdekat,SELALU,"Kemungkinan diagnosis: angina stabil/tidak stabil. Perokok, hipertensi, diabetes, dan kolesterol tinggi berisiko tinggi"
4,Jantung berdebar,"Jantung terasa lompat-lompat, tidak teratur, kadang seperti berhenti sesaat lalu berdetak keras; dapat disertai pusing, lemas, hampir pingsan; denyut dapat >150 x/menit atau tidak teratur",BAHAYA,1. Hentikan aktivitas; 2. Segera evaluasi medis,-,Pingsan; sesak; nyeri dada; denyut sangat cepat/lambat,SELALU,"Kemungkinan diagnosis: fibrilasi atrium, SVT, PVC. Lansia berisiko stroke"
4,Jantung berdebar,"Jantung terasa cepat atau berdebar kuat; muncul saat cemas, panik, habis minum kopi/energi drink, kurang tidur  denyut biasanya teratur; heart rate umumnya 100–120 x/menit ",SEDANG,1. Istirahat; 2. Kurangi kafein; 3. Tidur cukup; 4. Kelola stres,,Pingsan; nyeri dada; sesak; denyut sangat cepat/tidak teratur menetap → IGD,YA,"Kemungkinan diagnosis: palpitasi fungsional, aritmia ringan, gangguan cemas. Lansia berisiko fibrilasi atrium"
5,Luka kaki sulit sembuh,"Luka pada kaki/tungkai yang tidak membaik dalam beberapa hari–minggu, dapat disertai nyeri, mati rasa, kaki dingin, kulit menghitam, bengkak, kemerahan, atau keluar cairan/nanah. Pada sebagian pasien diabetes nyeri bisa minimal karena gangguan saraf",SEDANG,1. Bersihkan luka dengan air mengalir/NaCl; 2. Tutup dengan kasa bersih; 3. Kurangi tekanan pada kaki/luka; 4. Kontrol gula darah bila diabetes; 5. Segera evaluasi ke dokter untuk pemeriksaan pembuluh darah dan infeksi,NaCl untuk membersihkan luka; kasa steril,"Luka menghitam, bau busuk, demam, nyeri hebat, bengkak cepat, keluar nanah banyak, kaki pucat/dingin, mati rasa luas, demam, atau luka semakin dalam → segera ke IGD ",YA,"Sangat sering pada pasien diabetes, perokok, hipertensi, kolesterol tinggi, obesitas, penyakit ginjal, dan lansia akibat gangguan aliran darah atau saraf. Pada diabetesi luka kecil dapat cepat memburuk tanpa terasa nyeri. Perokok memiliki risiko tinggi penyempitan pembuluh darah sehingga penyembuhan lebih lambat. Jangan berjalan tanpa alas kaki pada pasien diabetes. Hindari mengoles bahan sembarangan atau memijat area luka. Bila terdapat warna hitam/kebiruan curiga gangren dan perlu penanganan segera"
6,Sesak Napas saat Aktivitas ,"Sesak muncul saat jalan cepat, naik tangga, atau aktivitas ringan; dapat disertai cepat lelah dan dada terasa berat; membaik saat istirahat",SEDANG,1. Hentikan aktivitas dan istirahat; 2. Duduk tegak/semi-Fowler; 3. Hindari aktivitas berat sementara; 4. Catat kapan sesak muncul dan pencetusnya; 5. Evaluasi medis bila sering kambuh,-,"Sesak memburuk cepat, nyeri dada, bibir/kuku kebiruan, pingsan, batuk berbusa merah muda, tidak bisa bicara kalimat panjang, saturasi rendah",YA,"Kemungkinan diagnosis: gagal jantung awal, penyakit jantung koroner, anemia. Lansia berisiko gagal jantung"
14,Sesak Napas saat Tidur,Sesak muncul saat berbaring dan membaik saat duduk; sering memakai bantal tinggi saat tidur,BAHAYA,1. Tidur dengan posisi kepala lebih tinggi; 2. Segera evaluasi medis,-,"Sesak progresif, batuk berbusa",SELALU,Khas pada gagal jantung. Pasien sering tidur dengan banyak bantal atau terbangun malam karena sesak. Risiko lebih tinggi pada hipertensi lama dan penyakit jantung koroner.
15,Kaki Bengkak Kedua Sisi,Bengkak pada kedua kaki/pergelangan kaki; terasa berat; lebih jelas sore hari; dapat meninggalkan cekungan saat ditekan,SEDANG,1. Tinggikan kaki saat duduk/tidur; 2. Kurangi garam; 3. Hindari berdiri lama,Stocking kompresi ,Sesak; bengkak cepat membesar; nyeri dada,YA,"Pada ibu hamil dapat terjadi akibat penumpukan cairan, namun bila disertai tekanan darah tinggi perlu waspadai preeklamsia"
16,Kaki Bengkak Satu Sisi,"Bengkak hanya satu kaki; dapat disertai nyeri, kemerahan, hangat",BAHAYA,1. Jangan dipijat; 2. Hindari aktivitas berat; 3. Segera periksa,-,Sesak mendadak; nyeri dada; batuk darah,SELALU,"Pada ibu hamil, pasca operasi, atau pasien tirah baring lama lebih berisiko pembekuan darah/DVT"
